,id,work_id,sex,age,year_birth,work_percent
0,29101946112,,Menn,2.0,2019,
1,26101930288,,Menn,2.0,2019,
2,22091952214,,Menn,2.0,2019,
3,04071997222,,Menn,2.0,2019,
4,07101970642,,Menn,2.0,2019,
5,19031908122,,Menn,2.0,2019,
6,09061955456,,Menn,2.0,2019,
7,26101992348,,Menn,2.0,2019,
8,20081921770,,Menn,2.0,2019,
9,07041950990,,Menn,2.0,2019,
10,01071994798,,Menn,2.0,2019,
11,07111905272,,Menn,2.0,2019,
12,05011997110,,Menn,2.0,2019,
13,05071903566,,Menn,2.0,2019,
14,07011977596,,Menn,2.0,2019,
15,13031951918,,Menn,2.0,2019,
16,15121990058,,Menn,2.0,2019,
17,26081907440,,Menn,2.0,2019,
18,17061966458,,Menn,2.0,2019,
19,30081945348,,Menn,2.0,2019,
20,07051922074,,Menn,2.0,2019,
21,26031977956,,Menn,2.0,2019,
22,20121911538,,Menn,2.0,2019,
23,16061928836,,Menn,2.0,2019,
24,08091927550,,Menn,2.0,2019,
25,25021991700,,Menn,2.0,2019,
26,29051938930,,Menn,2.0,2019,
27,19031989356,,Menn,2.0,2019,
28,21111944988,,Menn,2.0,2019,
29,04111910096,,Menn,2.0,2019,
30,01081952602,,Menn,2.0,2019,
31,07061940248,,Menn,2.0,2019,
32,22011915606,,Menn,2.0,2019,
33,08121983738,,Menn,2.0,2019,
34,03121901350,,Menn,2.0,2019,
35,25011909080,,Menn,2.0,2019,
36,06071903956,,Menn,2.0,2019,
37,28121936540,,Menn,2.0,2019,
38,24051920246,,Menn,2.0,2019,
39,30051978146,,Menn,2.0,2019,
40,21081905052,,Menn,2.0,2019,
41,26021929630,,Menn,2.0,2019,
42,04071970110,,Menn,2.0,2019,
43,07041975430,,Menn,2.0,2019,
44,06021963780,,Menn,2.0,2019,
45,09031913096,,Menn,2.0,2019,
46,23081911990,,Menn,2.0,2019,
47,02091941072,,Menn,2.0,2019,
48,06071999716,,Menn,2.0,2019,
49,12061973524,,Menn,2.0,2019,
50,04011904496,,Menn,2.0,2019,
51,03011939800,,Menn,2.0,2019,
52,23051984844,,Menn,2.0,2019,
53,18051970412,,Menn,2.0,2019,
54,18051965486,,Menn,2.0,2019,
55,12011942816,,Menn,2.0,2019,
56,15051962664,,Menn,2.0,2019,
57,11011916734,,Menn,2.0,2019,
58,22021998378,,Menn,2.0,2019,
59,31011980882,,Menn,2.0,2019,
60,19041984118,,Menn,2.0,2019,
61,28041926900,,Menn,2.0,2019,
62,17021979026,,Menn,2.0,2019,
63,04041970298,,Menn,2.0,2019,
64,29081921650,,Menn,2.0,2019,
65,09121985146,,Menn,2.0,2019,
66,16101990428,,Menn,2.0,2019,
67,24081903482,,Menn,2.0,2019,
68,18011987274,,Menn,2.0,2019,
69,22061909834,,Menn,2.0,2019,
70,23111945840,,Menn,2.0,2019,
71,27031925064,,Menn,2.0,2019,
72,10021913520,,Menn,2.0,2019,
73,19111974310,,Menn,2.0,2019,
74,28071915950,,Menn,2.0,2019,
75,26091947858,,Menn,2.0,2019,
76,17071996490,,Menn,2.0,2019,
77,09031998104,,Menn,2.0,2019,
78,15011984910,,Menn,2.0,2019,
79,24121986910,,Menn,2.0,2019,
80,26091936654,,Menn,2.0,2019,
81,02031948742,,Menn,2.0,2019,
82,28021925146,,Menn,2.0,2019,
83,15061979660,,Menn,2.0,2019,
84,21111931840,,Menn,2.0,2019,
85,13061994506,,Menn,2.0,2019,
86,25031911388,,Menn,2.0,2019,
87,07091962278,,Menn,2.0,2019,
88,19021919922,,Menn,2.0,2019,
89,31011914888,,Menn,2.0,2019,
90,17021923062,,Menn,2.0,2019,
91,15061990526,,Menn,2.0,2019,
92,16051978938,,Menn,2.0,2019,
93,05101971112,,Menn,2.0,2019,
94,27021958926,,Menn,2.0,2019,
95,18021952824,,Menn,2.0,2019,
96,15041976730,,Menn,2.0,2019,
97,27121904752,,Menn,2.0,2019,
98,12091941160,,Menn,2.0,2019,
99,04061950374,,Menn,2.0,2019,
100,03111921764,,Menn,2.0,2019,
101,04021973926,,Menn,2.0,2019,
102,08041928020,,Menn,2.0,2019,
103,28071920226,,Menn,2.0,2019,
104,01031928188,,Menn,2.0,2019,
105,23041976406,,Menn,2.0,2019,
106,25041938072,,Menn,2.0,2019,
107,04111904894,,Menn,2.0,2019,
108,01011935654,,Menn,2.0,2019,
109,18061970484,,Menn,2.0,2019,
110,13041969782,,Menn,2.0,2019,
111,12101951276,,Menn,2.0,2019,
112,05021917366,,Menn,2.0,2019,
113,05031933272,,Menn,2.0,2019,
114,14051987526,,Menn,2.0,2019,
115,19051945902,,Menn,2.0,2019,
116,03101941368,,Menn,2.0,2019,
117,24031911628,,Menn,2.0,2019,
118,05121913012,,Menn,2.0,2019,
119,28071923272,,Menn,2.0,2019,
120,06021910392,,Menn,2.0,2019,
121,27011971082,,Menn,2.0,2019,
122,02031909530,,Menn,2.0,2019,
123,01101969558,,Menn,2.0,2019,
124,21121948340,,Menn,2.0,2019,
125,20011987676,,Menn,2.0,2019,
126,24021947104,,Menn,2.0,2019,
127,07091963818,,Menn,2.0,2019,
128,07041901450,,Menn,2.0,2019,
129,19021927714,,Menn,2.0,2019,
130,27111962504,,Menn,2.0,2019,
131,02101953740,,Menn,2.0,2019,
132,30091974938,,Menn,2.0,2019,
133,09011915448,,Menn,2.0,2019,
134,15041960654,,Menn,2.0,2019,
135,05071932992,,Menn,2.0,2019,
136,28121962024,,Menn,2.0,2019,
137,21121977152,,Menn,2.0,2019,
138,24081980820,,Menn,2.0,2019,
139,22071994830,,Menn,2.0,2019,
140,01021918284,,Menn,2.0,2019,
141,28071923378,,Menn,2.0,2019,
142,04051943622,,Menn,2.0,2019,
143,09051909324,,Menn,2.0,2019,
144,13021937672,,Menn,2.0,2019,
145,09011953572,,Menn,2.0,2019,
146,29101963932,,Menn,2.0,2019,
147,16111965320,,Menn,2.0,2019,
148,30041922072,,Menn,2.0,2019,
149,08101903644,,Menn,2.0,2019,
150,13071957288,,Menn,2.0,2019,
151,08031978848,,Menn,2.0,2019,
152,29011975834,,Menn,2.0,2019,
153,30041997462,,Menn,2.0,2019,
154,03041937112,,Menn,2.0,2019,
155,29121977746,,Menn,2.0,2019,
156,21071948948,,Menn,2.0,2019,
157,25091982814,,Menn,2.0,2019,
158,18061967860,,Menn,2.0,2019,
159,06071496976,,Menn,7.0,2014,
160,21041818186,,Menn,3.0,2018,
161,15061550106,,Menn,6.0,2015,
162,16031814008,,Menn,3.0,2018,
163,07031405694,,Menn,7.0,2014,
164,24111787008,,Menn,4.0,2017,
165,30121494364,,Menn,7.0,2014,
166,30061682858,,Menn,5.0,2016,
167,27041763228,,Menn,4.0,2017,
168,31101502346,,Menn,6.0,2015,
169,29061774318,,Menn,4.0,2017,
170,17081641842,,Menn,5.0,2016,
171,29101447872,,Menn,7.0,2014,
172,08121523504,,Menn,6.0,2015,
173,14021433046,,Menn,7.0,2014,
174,20121807562,,Menn,3.0,2018,
175,30111582702,,Menn,6.0,2015,
176,05091587232,,Menn,6.0,2015,
177,06111549044,,Menn,6.0,2015,
178,24101548210,,Menn,6.0,2015,
179,29121423522,,Menn,7.0,2014,
180,21091498744,,Menn,7.0,2014,
181,07061721226,,Menn,4.0,2017,
182,08021815348,,Menn,3.0,2018,
183,20121509622,,Menn,6.0,2015,
